province,district_number,district_label,winner_party,cat_91,cat_92,flag_93,share_rk1,share_rk2,share_rk3
สมุทรสาคร,3,สมุทรสาคร เขต 3,ประชาชน,D,E,True,0.3695829281753436,0.33005702872460646,0.08903839583716591
สระบุรี,1,สระบุรี เขต 1,ภูมิใจไทย,D,E,True,0.32632438612729353,0.31706865574127513,0.1450100724124789
สระบุรี,2,สระบุรี เขต 2,ภูมิใจไทย,D,E,True,0.3550635422919995,0.2645882724026007,0.22032742849584355
สระแก้ว,3,สระแก้ว เขต 3,กล้าธรรม,D,E,True,0.3774443642298879,0.32849953440681334,0.13424777927744122
สุพรรณบุรี,3,สุพรรณบุรี เขต 3,กล้าธรรม,D,E,True,0.44079635038635495,0.37299129602313247,0.11259487920912013
สุราษฎร์ธานี,1,สุราษฎร์ธานี เขต 1,ภูมิใจไทย,D,E,True,0.33364464459341897,0.28097333810961567,0.22015249987206387
สุราษฎร์ธานี,2,สุราษฎร์ธานี เขต 2,ภูมิใจไทย,D,E,True,0.32089806960545114,0.23988976397861017,0.1788933415926071
สุราษฎร์ธานี,5,สุราษฎร์ธานี เขต 5,กล้าธรรม,D,E,True,0.33401134408852107,0.30225719466269935,0.19761495188060813
สุราษฎร์ธานี,6,สุราษฎร์ธานี เขต 6,ภูมิใจไทย,D,E,True,0.3096163261904514,0.29550071359369956,0.15410498682195578
สุโขทัย,2,สุโขทัย เขต 2,เพื่อไทย,D,E,True,0.4200910788409613,0.2463427412313107,0.17471554654021307
หนองคาย,1,หนองคาย เขต 1,พลังประชารัฐ,D,E,True,0.34007210009189226,0.26744186046511625,0.16500553709856036
หนองคาย,2,หนองคาย เขต 2,พลังประชารัฐ,D,E,True,0.352712322042219,0.3082474226804124,0.1618556701030928
หนองคาย,3,หนองคาย เขต 3,ภูมิใจไทย,D,E,True,0.4351719926725015,0.23647720333808264,0.2043939548137594
หนองบัวลำภู,1,หนองบัวลำภู เขต 1,กล้าธรรม,D,E,True,0.3352959934400838,0.24240940254652302,0.178860214563925
หนองบัวลำภู,3,หนองบัวลำภู เขต 3,กล้าธรรม,D,E,True,0.3161824358584322,0.28697647297434337,0.14916083561504917
อุดรธานี,1,อุดรธานี เขต 1,ประชาชน,D,E,True,0.36182807559379365,0.34403264945951906,0.09623256612005784
อุดรธานี,2,อุดรธานี เขต 2,เพื่อไทย,D,E,True,0.3302384439294195,0.26976724346305325,0.23456228405681706
อุดรธานี,3,อุดรธานี เขต 3,ภูมิใจไทย,D,E,True,0.4271344146862819,0.35694426980734034,0.12927336993727034
อุดรธานี,4,อุดรธานี เขต 4,เพื่อไทย,D,E,True,0.41217013991380835,0.3116919534801346,0.1671291103370919
อุดรธานี,5,อุดรธานี เขต 5,ภูมิใจไทย,D,E,True,0.40459623751269574,0.28452104840298936,0.18539572816711386
อุดรธานี,7,อุดรธานี เขต 7,เพื่อไทย,D,E,True,0.3707958931259034,0.36310668037611576,0.05071006005334764
อุดรธานี,9,อุดรธานี เขต 9,เพื่อไทย,D,E,True,0.37437049135701644,0.2688308152987614,0.194991152851504
อุดรธานี,10,อุดรธานี เขต 10,เพื่อไทย,D,E,True,0.4112951701964074,0.25846089326902916,0.20682183546515692
อุบลราชธานี,2,อุบลราชธานี เขต 2,ไทรวมพลัง,D,E,True,0.3992641596207592,0.3691347979387036,0.1017912524616455
อุบลราชธานี,4,อุบลราชธานี เขต 4,เพื่อไทย,D,E,True,0.3359008928318893,0.25654539112070673,0.24475095929931082
อุบลราชธานี,6,อุบลราชธานี เขต 6,เพื่อไทย,D,E,True,0.39817936614969657,0.37653904747633676,0.11259708798481556
อุบลราชธานี,8,อุบลราชธานี เขต 8,ภูมิใจไทย,D,E,True,0.4158530383930842,0.3649504195270786,0.1097254004576659
เชียงราย,2,เชียงราย เขต 2,เพื่อไทย,D,E,True,0.3469115404168785,0.25045543128283343,0.23024699203524826
เชียงราย,3,เชียงราย เขต 3,กล้าธรรม,D,E,True,0.34131889679867,0.24938190033675775,0.2238266763289143
เชียงราย,4,เชียงราย เขต 4,กล้าธรรม,D,E,True,0.3395059757564148,0.2872620073858859,0.2167874588933942
เชียงราย,6,เชียงราย เขต 6,กล้าธรรม,D,E,True,0.3326914236728,0.2915802159301271,0.22398091664699524
เชียงราย,7,เชียงราย เขต 7,กล้าธรรม,D,E,True,0.3382615235843988,0.25458257225744063,0.22373482325131622
เชียงใหม่,5,เชียงใหม่ เขต 5,ประชาชน,D,E,True,0.3718919271683091,0.3298853575235485,0.0968261219517501
เชียงใหม่,6,เชียงใหม่ เขต 6,กล้าธรรม,D,E,True,0.37764810035037844,0.26910559982044663,0.18553847304829238
เชียงใหม่,7,เชียงใหม่ เขต 7,กล้าธรรม,D,E,True,0.3349752634975264,0.20823833082383308,0.16304581630458162
เชียงใหม่,10,เชียงใหม่ เขต 10,กล้าธรรม,D,E,True,0.3645064940942209,0.33918631488437345,0.1429492691315563
เพชรบูรณ์,2,เพชรบูรณ์ เขต 2,ภูมิใจไทย,D,E,True,0.4287008353929254,0.41757344635927485,0.08163813059864235
เลย,2,เลย เขต 2,เพื่อไทย,D,E,True,0.34743557234181693,0.21309506332661587,0.16982743664001923
แพร่,1,แพร่ เขต 1,ภูมิใจไทย,D,E,True,0.40128787967323853,0.25366087393504505,0.16284315214977738
แพร่,3,แพร่ เขต 3,ประชาชน,D,E,True,0.28467576379664294,0.25530733003260475,0.19553194058688564
แม่ฮ่องสอน,2,แม่ฮ่องสอน เขต 2,ภูมิใจไทย,D,E,True,0.333100926308001,0.3290172028628751,0.17954154157002802
