year,key,province,district_number,winner_party,votes_rk1,share_rk1,share_rk2,share_rk3,share_others,enc,n_candidates,share_rk1_cand,margin12_cand,threshold
2569,ประจวบคีรีขันธ์_1,ประจวบคีรีขันธ์,1,ภูมิใจไทย,47612,0.4435046668032863,0.38057268476256123,0.09462153249995342,0.032164614266818194,2.576206434328268,6,0.4664230644892681,0.06618403393450172,0.75
2569,ปัตตานี_3,ปัตตานี,3,ภูมิใจไทย,28280,0.43396197461905567,0.3533230009053662,0.08419905780533092,0.06754952660088695,2.7368351295257987,6,0.4621368107984443,0.08587443213386933,0.75
2569,ปัตตานี_5,ปัตตานี,5,ภูมิใจไทย,32162,0.45840935005701255,0.3134122006841505,0.09582383124287343,0.06787343215507412,2.7390485703387863,7,0.4900054847949296,0.15499116338594673,0.75
2569,พระนครศรีอยุธยา_1,พระนครศรีอยุธยา,1,ภูมิใจไทย,43361,0.4376053367242928,0.3524781252838415,0.055870093957835036,0.07150282075347926,2.626838709102737,8,0.47697672372068467,0.0927861134333612,0.75
2569,พระนครศรีอยุธยา_2,พระนครศรีอยุธยา,2,ภูมิใจไทย,51200,0.5220547749658421,0.2516263229806065,0.08757672777698472,0.05894528621245182,2.4595262807160796,9,0.5673255917028632,0.29387908873326835,0.75
2569,พระนครศรีอยุธยา_3,พระนครศรีอยุธยา,3,ภูมิใจไทย,54931,0.5482464019801585,0.2885601932251432,0.05337644968760604,0.04093059464638601,2.2384329337857976,6,0.5888071860395317,0.27889851219825923,0.75
2569,พะเยา_1,พะเยา,1,กล้าธรรม,61641,0.7238172402860464,0.1533918108054156,0.026843273329340896,0.028651612827467973,1.5862061870076731,6,0.7760417978093919,0.6115825254941458,0.75
2569,พะเยา_2,พะเยา,2,กล้าธรรม,52697,0.574560877481819,0.2146057982707677,0.11446078698605493,0.018775145283862316,2.1847861593002524,6,0.6228959810874705,0.39023640661938536,0.75
2569,พะเยา_3,พะเยา,3,กล้าธรรม,55450,0.6529521207696475,0.13473540425331482,0.11713101434257318,0.015060879395209722,1.8462029319379774,5,0.7098236001945775,0.563352876417727,0.75
2569,พัทลุง_2,พัทลุง,2,ภูมิใจไทย,55709,0.4797908897520476,0.29350363014701447,0.09679530793809372,0.08689099224018396,2.766452799438888,7,0.5013589402066309,0.19466143489686455,0.75
2569,พิจิตร_1,พิจิตร,1,ภูมิใจไทย,50052,0.5315068493150685,0.2295741743655092,0.06429860889880004,0.07841138366783476,2.395446093977382,8,0.5880860063447303,0.33407355187404536,0.75
2569,พิษณุโลก_4,พิษณุโลก,4,ภูมิใจไทย,40713,0.4559637137417404,0.31244260275506774,0.14868406316496807,0.022622914100123195,2.6940556053485794,7,0.4852157746076013,0.15272861620603764,0.75
2569,มหาสารคาม_3,มหาสารคาม,3,ภูมิใจไทย,35150,0.45695639738956345,0.4145368035152492,0.07020098281375939,0.026182366553131744,2.4279298357447443,11,0.4721226041288901,0.04382748384843723,0.75
2569,มหาสารคาม_6,มหาสารคาม,6,ภูมิใจไทย,36685,0.42494903160040776,0.33444537114261885,0.1546775090353072,0.03579371698637754,2.848387146952071,9,0.4473780487804878,0.09528048780487805,0.75
2569,ยโสธร_1,ยโสธร,1,ภูมิใจไทย,46760,0.4656072011789541,0.3452025331580834,0.12190823276377107,0.01985502051220775,2.5852774884164083,7,0.4887890032927403,0.12639941462394816,0.75
2569,ยโสธร_2,ยโสธร,2,ภูมิใจไทย,46438,0.5698193776381663,0.31827328948660055,0.05925444193580053,0.022197408461764996,2.18782261349445,9,0.5877186321411395,0.2594476928139317,0.75
2569,ยโสธร_3,ยโสธร,3,ภูมิใจไทย,41851,0.4490595190832323,0.30335740420829,0.14671073103211477,0.044089402019378304,2.8162386396186667,8,0.47609351003924694,0.15447357943234175,0.75
2569,ระนอง_1,ระนอง,1,ภูมิใจไทย,56553,0.6181466421825813,0.14912338230150401,0.07645811472542847,0.025992479888072753,1.8424366354325348,5,0.7107416204803378,0.5392803730095892,0.75
