key,rate_2566,region,province,district_label,rate_2569,delta_rate,ballot_code
นครสวรรค์_2,0.02071248717709596,ภาคเหนือ,นครสวรรค์,นครสวรรค์ เขต 2,0.031134188556302178,0.010421701379206217,CON
นครสวรรค์_3,0.015990171179183436,ภาคเหนือ,นครสวรรค์,นครสวรรค์ เขต 3,0.03904983904983905,0.023059667870655616,CON
นครสวรรค์_4,0.011706739491625767,ภาคเหนือ,นครสวรรค์,นครสวรรค์ เขต 4,0.03306730284435372,0.02136056335272795,CON
นครสวรรค์_6,0.008992343661682339,ภาคเหนือ,นครสวรรค์,นครสวรรค์ เขต 6,0.014409726565431666,0.005417382903749327,CON
นครสวรรค์_5,0.018268497330282227,ภาคเหนือ,นครสวรรค์,นครสวรรค์ เขต 5,0.031302988395165654,0.013034491064883427,CON
นนทบุรี_1,0.03832902267995033,ปริมณฑล,นนทบุรี,นนทบุรี เขต 1,0.05615269573824817,0.017823673058297844,CON
นนทบุรี_2,0.03550767166932171,ปริมณฑล,นนทบุรี,นนทบุรี เขต 2,0.06383183298679135,0.02832416131746964,CON
นนทบุรี_3,0.039368304430694695,ปริมณฑล,นนทบุรี,นนทบุรี เขต 3,0.07392880194627874,0.03456049751558404,CON
นนทบุรี_4,0.035851445890681115,ปริมณฑล,นนทบุรี,นนทบุรี เขต 4,0.05650924343638341,0.020657797545702294,CON
นนทบุรี_5,0.04484084932689666,ปริมณฑล,นนทบุรี,นนทบุรี เขต 5,0.059852288915606656,0.015011439588709999,CON
นนทบุรี_6,0.037157277061002116,ปริมณฑล,นนทบุรี,นนทบุรี เขต 6,0.06694883747533388,0.029791560414331765,CON
นนทบุรี_7,0.03174482987080592,ปริมณฑล,นนทบุรี,นนทบุรี เขต 7,0.0627922652399208,0.031047435369114883,CON
นนทบุรี_8,0.03774371099655025,ปริมณฑล,นนทบุรี,นนทบุรี เขต 8,0.058091624852119286,0.020347913855569034,CON
นราธิวาส_1,0.02273486451194947,ภาคใต้,นราธิวาส,นราธิวาส เขต 1,0.029445159336916205,0.006710294824966736,CON
นราธิวาส_2,0.025773322221677532,ภาคใต้,นราธิวาส,นราธิวาส เขต 2,0.051484684237383976,0.025711362015706445,CON
นราธิวาส_3,0.02004675919017062,ภาคใต้,นราธิวาส,นราธิวาส เขต 3,0.014520271174888329,-0.005526488015282291,CON
นราธิวาส_4,0.013333333333333334,ภาคใต้,นราธิวาส,นราธิวาส เขต 4,0.012418412496638716,-0.0009149208366946177,CON
นราธิวาส_5,0.00834003110549774,ภาคใต้,นราธิวาส,นราธิวาส เขต 5,0.016459111420054903,0.008119080314557162,CON
น่าน_1,0.032873873310524104,ภาคเหนือ,น่าน,น่าน เขต 1,0.06303989234709381,0.030166019036569708,CON
น่าน_3,0.020239671893023455,ภาคเหนือ,น่าน,น่าน เขต 3,0.05183455724105547,0.031594885348032016,CON
น่าน_2,0.018684690983956805,ภาคเหนือ,น่าน,น่าน เขต 2,0.04648099964665446,0.027796308662697656,CON
บึงกาฬ_1,0.01133705949974234,ภาคอีสาน,บึงกาฬ,บึงกาฬ เขต 1,0.020995334370139968,0.009658274870397629,CON
บึงกาฬ_2,0.010844965398150207,ภาคอีสาน,บึงกาฬ,บึงกาฬ เขต 2,0.014259886084036812,0.0034149206858866046,CON
บึงกาฬ_3,0.012533279750841413,ภาคอีสาน,บึงกาฬ,บึงกาฬ เขต 3,0.03007084830382523,0.017537568552983815,CON
บุรีรัมย์_1,0.023089330298946067,ภาคอีสาน,บุรีรัมย์,บุรีรัมย์ เขต 1,0.037970561417220265,0.014881231118274198,CON
บุรีรัมย์_4,0.010127445132861856,ภาคอีสาน,บุรีรัมย์,บุรีรัมย์ เขต 4,0.025320729237002026,0.01519328410414017,CON
บุรีรัมย์_5,0.015959517321915143,ภาคอีสาน,บุรีรัมย์,บุรีรัมย์ เขต 5,0.031768628959856354,0.01580911163794121,CON
บุรีรัมย์_6,0.019374461979913916,ภาคอีสาน,บุรีรัมย์,บุรีรัมย์ เขต 6,0.03645728426322908,0.01708282228331516,CON
